TIME;GEO;GEO_LABEL;MED_AGE_MOTHER;TOT_FER_RT;NET_MIGRAT_RT;BIRTH_RT;DEATH_RT;INF_MORT_RT;GDP_HAB_INDEX;EDU_LOW;EDU_HIGH;MED_AGE_MOTHER_DIFF;TOT_FER_RT_DIFF;NET_MIGRAT_RT_DIFF;BIRTH_RT_DIFF;DEATH_RT_DIFF;INF_MORT_RT_DIFF;GDP_HAB_INDEX_DIFF;EDU_LOW_DIFF;EDU_HIGH_DIFF;MIG_CHANGE
2006;EL64;Sterea Ellada;29.7;1.5;2.6;9.1;10.9;2.6;74;32.1;20;0.3;0.08;1.6;0.4;0.1;-0.7;-1;0.4;2.5;HIGHER
2007;EL64;Sterea Ellada;29.9;1.45;3.3;8.9;11.4;1.8;73;33.4;17.7;0.2;-0.05;0.7;-0.2;0.5;-0.8;-1;1.3;-2.3;HIGHER
2008;EL64;Sterea Ellada;29.9;1.58;4.5;9.6;11;2.2;75;35.7;15.5;0;0.13;1.2;0.7;-0.4;0.4;2;2.3;-2.2;HIGHER
2009;EL64;Sterea Ellada;30.2;1.54;5.4;9.3;10.5;3.3;76;38.2;16.5;0.3;-0.04;0.9;-0.3;-0.5;1.1;1;2.5;1;LOWER
2010;EL64;Sterea Ellada;30.4;1.52;4.9;9.2;10.5;2.3;69;32.1;21.4;0.2;-0.02;-0.5;-0.1;0;-1;-7;-6.1;4.9;LOWER
2011;EL64;Sterea Ellada;30.6;1.34;3.2;8;11.2;2.5;63;27.9;19;0.2;-0.18;-1.7;-1.2;0.7;0.2;-6;-4.2;-2.4;LOWER
2012;EL64;Sterea Ellada;30.9;1.31;1.2;7.8;11.8;1.1;58;24.8;20.3;0.3;-0.03;-2;-0.2;0.6;-1.4;-5;-3.1;1.3;HIGHER
2013;EL64;Sterea Ellada;31.4;1.25;1.7;7.4;10.7;1.4;54;23.1;22;0.5;-0.06;0.5;-0.4;-1.1;0.3;-4;-1.7;1.7;LOWER
2014;EL64;Sterea Ellada;31.3;1.24;1.3;7.2;11.2;4.2;51;21.7;26.3;-0.1;-0.01;-0.4;-0.2;0.5;2.8;-3;-1.4;4.3;LOWER
2015;EL64;Sterea Ellada;31.7;1.23;1.3;7.1;11.8;3.8;49;27.4;27.8;0.4;-0.01;0;-0.1;0.6;-0.4;-2;5.7;1.5;HIGHER
2016;EL64;Sterea Ellada;31.8;1.3;4.1;7.4;11.6;6.1;50;21.4;31.6;0.1;0.07;2.8;0.3;-0.2;2.3;1;-6;3.8;HIGHER
2017;EL64;Sterea Ellada;32.2;1.24;4.9;7;12.2;2.8;51;21.6;35.9;0.4;-0.06;0.8;-0.4;0.6;-3.3;1;0.2;4.3;UNKNOWN
2000;EL65;Peloponnisos;29.3;1.3;7.9;8.6;12.4;6.2;56;35.7;17.9;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;Y2K
2001;EL65;Peloponnisos;29.2;1.28;14.7;8.2;11.8;4.1;57;37.8;17.4;-0.1;-0.02;6.8;-0.4;-0.6;-2.1;1;2.1;-0.5;LOWER
2002;EL65;Peloponnisos;29;1.3;-2.5;8.1;11.8;4.2;58;38.4;15.3;-0.2;0.02;-17.2;-0.1;0;0.1;1;0.6;-2.1;HIGHER
2003;EL65;Peloponnisos;29.5;1.35;-1.1;8.4;11.9;3.8;61;40.5;13.3;0.5;0.05;1.4;0.3;0.1;-0.4;3;2.1;-2;HIGHER
2004;EL65;Peloponnisos;29.6;1.36;-0.2;8.5;11.6;3.8;61;30.5;19;0.1;0.01;0.9;0.1;-0.3;0;0;-10;5.7;HIGHER
2005;EL65;Peloponnisos;29.6;1.41;0.8;8.7;11.5;4.7;61;32.1;17.8;0;0.05;1;0.2;-0.1;0.9;0;1.6;-1.2;HIGHER
2006;EL65;Peloponnisos;29.7;1.49;3.4;9.2;11.9;3.5;63;33.4;17.1;0.1;0.08;2.6;0.5;0.4;-1.2;2;1.3;-0.7;HIGHER
2007;EL65;Peloponnisos;29.9;1.48;3.7;9.1;12.2;4.7;64;31.7;19.3;0.2;-0.01;0.3;-0.1;0.3;1.2;1;-1.7;2.2;HIGHER
2008;EL65;Peloponnisos;30.1;1.57;4.5;9.6;11.9;2.5;66;29.7;17.6;0.2;0.09;0.8;0.5;-0.3;-2.2;2;-2;-1.7;LOWER
2009;EL65;Peloponnisos;30.3;1.59;4.5;9.6;11.9;4.2;69;30.2;16.4;0.2;0.02;0;0;0;1.7;3;0.5;-1.2;LOWER
2010;EL65;Peloponnisos;30.4;1.59;4.2;9.5;11.8;5;63;32.3;17.4;0.1;0;-0.3;-0.1;-0.1;0.8;-6;2.1;1;LOWER
2011;EL65;Peloponnisos;30.5;1.44;2.5;8.5;11.9;2.8;57;36;18;0.1;-0.15;-1.7;-1;0.1;-2.2;-6;3.7;0.6;LOWER
2012;EL65;Peloponnisos;30.7;1.41;0.7;8.2;12.6;5.6;53;30.5;20.5;0.2;-0.03;-1.8;-0.3;0.7;2.8;-4;-5.5;2.5;HIGHER
2013;EL65;Peloponnisos;31.1;1.31;1.2;7.6;11.7;4.1;50;30.4;22.2;0.4;-0.1;0.5;-0.6;-0.9;-1.5;-3;-0.1;1.7;HIGHER
2014;EL65;Peloponnisos;31.4;1.33;1.3;7.5;11.8;3.2;48;25.3;30.4;0.3;0.02;0.1;-0.1;0.1;-0.9;-2;-5.1;8.2;HIGHER
2015;EL65;Peloponnisos;31.8;1.32;1.4;7.4;13;3.2;46;21;39.7;0.4;-0.01;0.1;-0.1;1.2;0;-2;-4.3;9.3;LOWER
2016;EL65;Peloponnisos;31.8;1.37;1.4;7.6;12.2;3.2;46;25.4;32.4;0;0.05;0;0.2;-0.8;0;0;4.4;-7.3;HIGHER
2017;EL65;Peloponnisos;32.1;1.35;1.7;7.3;13.2;2.8;47;19.5;36.5;0.3;-0.02;0.3;-0.3;1;-0.4;1;-5.9;4.1;UNKNOWN
2000;ES;Spain;31;1.21;3.9;9.8;8.9;4.3;80;49.2;29.2;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;Y2K
2001;ES;Spain;31.2;1.23;7.9;9.9;8.8;4;83;46.9;31.3;0.2;0.02;4;0.1;-0.1;-0.3;3;-2.3;2.1;HIGHER
2002;ES;Spain;31.3;1.25;17.9;10.1;8.8;4.1;85;44.3;34.4;0.1;0.02;10;0.2;0;0.1;2;-2.6;3.1;LOWER
2003;ES;Spain;31.4;1.3;15.7;10.4;9.1;3.9;88;43.1;35.1;0.1;0.05;-2.2;0.3;0.3;-0.2;3;-1.2;0.7;LOWER
2004;ES;Spain;31.5;1.31;15.5;10.6;8.6;3.9;89;40.8;36.9;0.1;0.01;-0.2;0.2;-0.5;0;1;-2.3;1.8;LOWER
2005;ES;Spain;31.6;1.33;14.5;10.6;8.8;3.7;91;37.8;39.9;0.1;0.02;-1;0;0.2;-0.2;2;-3;3;HIGHER
2006;ES;Spain;31.7;1.36;14.9;10.8;8.3;3.5;92;37.1;39.4;0.1;0.03;0.4;0.2;-0.5;-0.2;1;-0.7;-0.5;HIGHER
2007;ES;Spain;31.8;1.38;17.2;10.9;8.5;3.4;92;35;40.9;0.1;0.02;2.3;0.1;0.2;-0.1;0;-2.1;1.5;LOWER
2008;ES;Spain;31.9;1.45;9.5;11.3;8.4;3.3;93;34.5;41.3;0.1;0.07;-7.7;0.4;-0.1;-0.1;1;-0.5;0.4;LOWER
2009;ES;Spain;32.2;1.38;3;10.6;8.3;3.2;95;35.2;40.7;0.3;-0.07;-6.5;-0.7;-0.1;-0.1;2;0.7;-0.6;LOWER
2010;ES;Spain;32.5;1.37;1.6;10.4;8.2;3.2;91;33.7;42;0.3;-0.01;-1.4;-0.2;-0.1;0;-4;-1.5;1.3;LOWER
2011;ES;Spain;32.8;1.34;1.4;10.1;8.3;3.1;87;32.9;41.9;0.3;-0.03;-0.2;-0.3;0.1;-0.1;-4;-0.8;-0.1;LOWER
2012;ES;Spain;33;1.32;-3;9.7;8.6;3.1;83;34.3;41.5;0.2;-0.02;-4.4;-0.4;0.3;0;-4;1.4;-0.4;LOWER
2013;ES;Spain;33.1;1.27;-5.4;9.1;8.3;2.7;82;34.2;42.3;0.1;-0.05;-2.4;-0.6;-0.3;-0.4;-1;-0.1;0.8;HIGHER
2014;ES;Spain;33.3;1.32;-2;9.2;8.5;2.8;81;33.3;42.3;0.2;0.05;3.4;0.1;0.2;0.1;-1;-0.9;0;HIGHER
2015;ES;Spain;33.4;1.33;-0.2;9;9.1;2.7;80;34.3;40.9;0.1;0.01;1.8;-0.2;0.6;-0.1;-1;1;-1.4;HIGHER
2016;ES;Spain;33.5;1.34;1.9;8.8;8.8;2.7;82;35.4;40.1;0.1;0.01;2.1;-0.2;-0.3;0;2;1.1;-0.8;HIGHER
2017;ES;Spain;33.6;1.31;3.5;8.4;9.1;2.7;83;34.8;41.2;0.1;-0.03;1.6;-0.4;0.3;0;1;-0.6;1.1;UNKNOWN
2000;ES1;Noroeste (ES);30.8;0.94;2.1;7.1;10.8;3.7;65;51.5;27.9;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;Y2K
2001;ES1;Noroeste (ES);31;0.94;3.2;7.1;10.5;3.8;68;50.2;30;0.2;0;1.1;0;-0.3;0.1;3;-1.3;2.1;HIGHER
2002;ES1;Noroeste (ES);31.3;0.94;6.7;7.1;10.7;4.1;70;45.7;33.3;0.3;0;3.5;0;0.2;0.3;2;-4.5;3.3;LOWER
2003;ES1;Noroeste (ES);31.4;1;6.6;7.5;11.1;4.1;73;41;37.7;0.1;0.06;-0.1;0.4;0.4;0;3;-4.7;4.4;HIGHER
2004;ES1;Noroeste (ES);31.7;1.01;6.8;7.6;10.7;3.4;75;40.4;38.6;0.3;0.01;0.2;0.1;-0.4;-0.7;2;-0.6;0.9;HIGHER
2005;ES1;Noroeste (ES);31.8;1.03;6.9;7.8;10.9;3.7;78;38.8;41.1;0.1;0.02;0.1;0.2;0.2;0.3;3;-1.6;2.5;HIGHER
2006;ES1;Noroeste (ES);32;1.04;7.5;7.8;10.8;3.4;80;36.2;41.2;0.2;0.01;0.6;0;-0.1;-0.3;2;-2.6;0.1;HIGHER
2007;ES1;Noroeste (ES);32.2;1.07;9.6;8;11;3.9;81;33.1;43.7;0.2;0.03;2.1;0.2;0.2;0.5;1;-3.1;2.5;LOWER
2008;ES1;Noroeste (ES);32.4;1.14;8.1;8.4;10.8;3.3;83;32.5;44.8;0.2;0.07;-1.5;0.4;-0.2;-0.6;2;-0.6;1.1;LOWER
2009;ES1;Noroeste (ES);32.7;1.12;4.9;8.2;10.9;2.7;85;34.6;44.5;0.3;-0.02;-3.2;-0.2;0.1;-0.6;2;2.1;-0.3;LOWER
2010;ES1;Noroeste (ES);33;1.1;3.3;8;10.8;2.7;82;32.3;44.1;0.3;-0.02;-1.6;-0.2;-0.1;0;-3;-2.3;-0.4;LOWER
2011;ES1;Noroeste (ES);33.3;1.09;2.7;7.8;10.8;3.1;78;32.2;45.1;0.3;-0.01;-0.6;-0.2;0;0.4;-4;-0.1;1;LOWER
2012;ES1;Noroeste (ES);33.5;1.09;-0.6;7.6;11.3;2.8;74;31.3;45.3;0.2;0;-3.3;-0.2;0.5;-0.3;-4;-0.9;0.2;LOWER
2013;ES1;Noroeste (ES);33.8;1.04;-1.9;7.1;11.1;2.2;73;31.1;45.4;0.3;-0.05;-1.3;-0.5;-0.2;-0.6;-1;-0.2;0.1;HIGHER
2014;ES1;Noroeste (ES);34;1.06;-1.4;7;11.1;2;71;30.5;45.7;0.2;0.02;0.5;-0.1;0;-0.2;-2;-0.6;0.3;HIGHER
2015;ES1;Noroeste (ES);34.1;1.09;-1.2;6.9;11.8;2.7;71;30.1;46.8;0.1;0.03;0.2;-0.1;0.7;0.7;0;-0.4;1.1;HIGHER
2016;ES1;Noroeste (ES);34.3;1.11;0.9;6.8;11.7;2.8;73;29.1;46.1;0.2;0.02;2.1;-0.1;-0.1;0.1;2;-1;-0.7;HIGHER
2017;ES1;Noroeste (ES);34.4;1.11;2;6.6;11.8;2.3;75;28.6;47.1;0.1;0;1.1;-0.2;0.1;-0.5;2;-0.5;1;UNKNOWN
2000;ES11;Galicia;30.6;0.96;1.8;7.2;10.7;4.2;62;53.8;27.5;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;Y2K
2001;ES11;Galicia;30.8;0.95;2.8;7.2;10.5;3.6;65;51.5;30.7;0.2;-0.01;1;0;-0.2;-0.6;3;-2.3;3.2;HIGHER
2002;ES11;Galicia;31.1;0.95;6.4;7.2;10.5;4.1;67;48;33.3;0.3;0;3.6;0;0;0.5;2;-3.5;2.6;LOWER
2003;ES11;Galicia;31.3;1;5.8;7.5;11;3.9;71;41.8;37;0.2;0.05;-0.6;0.3;0.5;-0.2;4;-6.2;3.7;HIGHER
2004;ES11;Galicia;31.5;1;6.3;7.6;10.5;3.2;72;41.4;38.1;0.2;0;0.5;0.1;-0.5;-0.7;1;-0.4;1.1;HIGHER
2005;ES11;Galicia;31.7;1.02;6.5;7.7;10.8;3.2;75;39.9;40.9;0.2;0.02;0.2;0.1;0.3;0;3;-1.5;2.8;HIGHER
2006;ES11;Galicia;32;1.04;6.9;7.8;10.7;3.4;77;36;42.4;0.3;0.02;0.4;0.1;-0.1;0.2;2;-3.9;1.5;HIGHER
2007;ES11;Galicia;32.2;1.06;8;7.9;11;3.3;78;33;44.5;0.2;0.02;1.1;0.1;0.3;-0.1;1;-3;2.1;LOWER
2008;ES11;Galicia;32.4;1.13;6.9;8.4;10.7;3.1;81;33.1;45.8;0.2;0.07;-1.1;0.5;-0.3;-0.2;3;0.1;1.3;LOWER
2009;ES11;Galicia;32.7;1.1;4.6;8.1;10.9;2.7;84;35.6;44.2;0.3;-0.03;-2.3;-0.3;0.2;-0.4;3;2.5;-1.6;LOWER
2010;ES11;Galicia;32.9;1.09;3.1;8;10.7;2.2;81;33.7;44.4;0.2;-0.01;-1.5;-0.1;-0.2;-0.5;-3;-1.9;0.2;LOWER
2011;ES11;Galicia;33.3;1.08;2.4;7.8;10.8;2.5;77;32.5;43.9;0.4;-0.01;-0.7;-0.2;0.1;0.3;-4;-1.2;-0.5;LOWER
2012;ES11;Galicia;33.6;1.09;-0.1;7.6;11.2;2.6;73;32.3;43.1;0.3;0.01;-2.5;-0.2;0.4;0.1;-4;-0.2;-0.8;LOWER
2013;ES11;Galicia;33.8;1.04;-1.5;7.2;11;2.1;73;34.2;43.4;0.2;-0.05;-1.4;-0.4;-0.2;-0.5;0;1.9;0.3;HIGHER
2014;ES11;Galicia;34.1;1.07;-0.8;7.2;10.9;2;71;33.1;44.1;0.3;0.03;0.7;0;-0.1;-0.1;-2;-1.1;0.7;LOWER
2015;ES11;Galicia;34.2;1.1;-0.8;7.1;11.6;2.8;71;31.8;45.8;0.1;0.03;0;-0.1;0.7;0.8;0;-1.3;1.7;HIGHER
2016;ES11;Galicia;34.3;1.12;1;7;11.7;3.1;73;29.7;44.3;0.1;0.02;1.8;-0.1;0.1;0.3;2;-2.1;-1.5;HIGHER
2017;ES11;Galicia;34.5;1.12;2.4;6.8;11.8;2.2;75;30.8;45.6;0.2;0;1.4;-0.2;0.1;-0.9;2;1.1;1.3;UNKNOWN
2000;ES12;Principado de Asturias;31.2;0.86;1.9;6.4;11.5;3.4;67;48.5;29.3;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;Y2K
2001;ES12;Principado de Asturias;31.2;0.88;2.9;6.4;11.2;5.4;70;48.4;27.3;0;0.02;1;0;-0.3;2;3;-0.1;-2;HIGHER
2002;ES12;Principado de Asturias;31.4;0.86;4.8;6.4;11.7;4.3;72;40.1;33.7;0.2;-0.02;1.9;0;0.5;-1.1;2;-8.3;6.4;HIGHER
2003;ES12;Principado de Asturias;31.6;0.91;5.3;6.8;12;5.5;75;42.5;37.3;0.2;0.05;0.5;0.4;0.3;1.2;3;2.4;3.6;HIGHER
2004;ES12;Principado de Asturias;31.9;0.93;5.4;6.8;11.9;4.2;77;40.2;38.7;0.3;0.02;0.1;0;-0.1;-1.3;2;-2.3;1.4;HIGHER
2005;ES12;Principado de Asturias;32.1;0.96;5.6;7;11.9;5.3;80;39.4;40.2;0.2;0.03;0.2;0.2;0;1.1;3;-0.8;1.5;HIGHER
2006;ES12;Principado de Asturias;32.1;0.98;6.1;7.1;11.6;3.9;83;38.7;37.3;0;0.02;0.5;0.1;-0.3;-1.4;3;-0.7;-2.9;HIGHER
2007;ES12;Principado de Asturias;32.3;1.02;9.9;7.3;11.9;5.9;83;34.8;39.1;0.2;0.04;3.8;0.2;0.3;2;0;-3.9;1.8;LOWER
2008;ES12;Principado de Asturias;32.4;1.08;9.1;7.7;11.9;3.9;85;32.9;40.8;0.1;0.06;-0.8;0.4;0;-2;2;-1.9;1.7;LOWER
2009;ES12;Principado de Asturias;32.9;1.08;5;7.6;11.9;3.3;86;32.5;44.4;0.5;0;-4.1;-0.1;0;-0.6;1;-0.4;3.6;LOWER
2010;ES12;Principado de Asturias;33.2;1.04;3.5;7.2;11.8;3.2;83;31.6;42.9;0.3;-0.04;-1.5;-0.4;-0.1;-0.1;-3;-0.9;-1.5;LOWER
2011;ES12;Principado de Asturias;33.3;1.05;3.1;7.2;11.8;5.5;80;30.7;49.2;0.1;0.01;-0.4;0;0;2.3;-3;-0.9;6.3;LOWER
2012;ES12;Principado de Asturias;33.6;1.06;-0.9;7.1;12.3;3.7;75;29;51.2;0.3;0.01;-4;-0.1;0.5;-1.8;-5;-1.7;2;LOWER
2013;ES12;Principado de Asturias;33.9;0.96;-2.6;6.3;12;1.6;73;26.5;50.2;0.3;-0.1;-1.7;-0.8;-0.3;-2.1;-2;-2.5;-1;LOWER
2014;ES12;Principado de Asturias;34;0.99;-2.7;6.3;12.2;2.1;70;28.5;51.3;0.1;0.03;-0.1;0;0.2;0.5;-3;2;1.1;HIGHER
2015;ES12;Principado de Asturias;34.1;1.01;-1.8;6.2;13;1.9;70;25.1;52.9;0.1;0.02;0.9;-0.1;0.8;-0.2;0;-3.4;1.6;HIGHER
2016;ES12;Principado de Asturias;34.3;1.04;0.2;6.1;12.7;2.5;71;27.2;52.4;0.2;0.03;2;-0.1;-0.3;0.6;1;2.1;-0.5;HIGHER
2017;ES12;Principado de Asturias;34.4;1.03;0.4;5.8;12.8;2.7;74;26.6;50.7;0.1;-0.01;0.2;-0.3;0.1;0.2;3;-0.6;-1.7;UNKNOWN
2000;ES13;Cantabria;31.2;1.05;3.6;8.1;10.1;2.1;75;46;27.4;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;Y2K
2001;ES13;Cantabria;31.4;1.03;5.3;8;9.5;1.9;78;46.8;31.5;0.2;-0.02;1.7;-0.1;-0.6;-0.2;3;0.8;4.1;HIGHER
2002;ES13;Cantabria;31.6;1.09;11.6;8.3;10;3.5;80;44.9;32.8;0.2;0.06;6.3;0.3;0.5;1.6;2;-1.9;1.3;HIGHER
2003;ES13;Cantabria;31.7;1.15;13;8.8;10.1;3.1;83;34;41.4;0.1;0.06;1.4;0.5;0.1;-0.4;3;-10.9;8.6;LOWER
2004;ES13;Cantabria;31.9;1.18;12.3;9.3;9.4;3.6;83;36.2;40.7;0.2;0.03;-0.7;0.5;-0.7;0.5;0;2.2;-0.7;LOWER
2005;ES13;Cantabria;32;1.21;11.6;9.4;9.6;3.2;85;33;43.9;0.1;0.03;-0.7;0.1;0.2;-0.4;2;-3.2;3.2;HIGHER
2006;ES13;Cantabria;31.8;1.19;13.1;9.3;9.7;2.3;86;32.9;42.2;-0.2;-0.02;1.5;-0.1;0.1;-0.9;1;-0.1;-1.7;HIGHER
2007;ES13;Cantabria;32;1.21;16.3;9.4;9.8;3.5;86;30.5;48;0.2;0.02;3.2;0.1;0.1;1.2;0;-2.4;5.8;LOWER
2008;ES13;Cantabria;32.3;1.32;12.1;10.1;9.5;3.2;87;29.3;47.1;0.3;0.11;-4.2;0.7;-0.3;-0.3;1;-1.2;-0.9;LOWER
2009;ES13;Cantabria;32.4;1.26;6.4;9.6;9.4;2.1;89;33.2;46.2;0.1;-0.06;-5.7;-0.5;-0.1;-1.1;2;3.9;-0.9;LOWER
2010;ES13;Cantabria;32.9;1.26;3.8;9.5;9.3;3.6;85;27.1;44.3;0.5;0;-2.6;-0.1;-0.1;1.5;-4;-6.1;-1.9;LOWER
2011;ES13;Cantabria;33.2;1.22;3;9;9.5;1.9;81;33.4;43.6;0.3;-0.04;-0.8;-0.5;0.2;-1.7;-4;6.3;-0.7;LOWER
2012;ES13;Cantabria;33.4;1.19;-2.7;8.6;9.8;2.4;77;30.6;45.2;0.2;-0.03;-5.7;-0.4;0.3;0.5;-4;-2.8;1.6;LOWER
2013;ES13;Cantabria;33.6;1.18;-2.7;8.2;9.5;3.3;74;24.6;46.4;0.2;-0.01;0;-0.4;-0.3;0.9;-3;-6;1.2;HIGHER
2014;ES13;Cantabria;33.9;1.15;-1.7;7.8;10.1;2.2;74;22.1;43.9;0.3;-0.03;1;-0.4;0.6;-1.1;0;-2.5;-2.5;LOWER
2015;ES13;Cantabria;34;1.15;-2;7.5;10.3;3.4;72;30.6;41.5;0.1;0;-0.3;-0.3;0.2;1.2;-2;8.5;-2.4;HIGHER
2016;ES13;Cantabria;34.3;1.15;1.2;7.3;10.2;1.9;74;29.1;43.5;0.3;0;3.2;-0.2;-0.1;-1.5;2;-1.5;2;HIGHER
2017;ES13;Cantabria;34.1;1.17;2.8;7.1;10.2;2.2;76;22;48.1;-0.2;0.02;1.6;-0.2;0;0.3;2;-7.1;4.6;UNKNOWN
2000;ES2;Noreste (ES);32.1;1.08;2.1;8.5;9.3;4.1;94;37;40.8;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;Y2K
2001;ES2;Noreste (ES);32.3;1.12;4.4;8.8;9.3;3.9;97;32.9;42.7;0.2;0.04;2.3;0.3;0;-0.2;3;-4.1;1.9;HIGHER
2002;ES2;Noreste (ES);32.4;1.15;10.7;8.9;9.4;3.8;99;34.5;43.5;0.1;0.03;6.3;0.1;0.1;-0.1;2;1.6;0.8;LOWER
2003;ES2;Noreste (ES);32.4;1.21;9.3;9.4;9.7;3.5;104;32.9;45.2;0;0.06;-1.4;0.5;0.3;-0.3;5;-1.6;1.7;HIGHER
2004;ES2;Noreste (ES);32.6;1.23;10.3;9.5;9.3;3.9;105;31.7;46.3;0.2;0.02;1;0.1;-0.4;0.4;1;-1.2;1.1;LOWER
2005;ES2;Noreste (ES);32.6;1.23;10.3;9.5;9.6;3.7;107;28.3;50.1;0;0;0;0;0.3;-0.2;2;-3.4;3.8;HIGHER
2006;ES2;Noreste (ES);32.6;1.27;11.3;9.7;9;3.4;109;26.6;50.7;0;0.04;1;0.2;-0.6;-0.3;2;-1.7;0.6;HIGHER
2007;ES2;Noreste (ES);32.6;1.31;15.3;9.9;9.2;3.8;110;26.1;52.6;0;0.04;4;0.2;0.2;0.4;1;-0.5;1.9;LOWER
2008;ES2;Noreste (ES);32.8;1.38;9.4;10.3;9.2;2.9;112;24.5;50.1;0.2;0.07;-5.9;0.4;0;-0.9;2;-1.6;-2.5;LOWER
2009;ES2;Noreste (ES);33;1.34;2.1;9.9;9.1;3.2;114;21.8;53;0.2;-0.04;-7.3;-0.4;-0.1;0.3;2;-2.7;2.9;LOWER
2010;ES2;Noreste (ES);33.2;1.36;1.1;9.9;9;2.5;111;22.2;53.6;0.2;0.02;-1;0;-0.1;-0.7;-3;0.4;0.6;LOWER
2011;ES2;Noreste (ES);33.4;1.36;0.4;9.7;9.2;3.2;107;23.1;53.9;0.2;0;-0.7;-0.2;0.2;0.7;-4;0.9;0.3;LOWER
2012;ES2;Noreste (ES);33.7;1.36;-3.7;9.5;9.5;2.4;102;21.5;53.6;0.3;0;-4.1;-0.2;0.3;-0.8;-5;-1.6;-0.3;LOWER
2013;ES2;Noreste (ES);33.9;1.31;-4.8;8.9;9.2;2.2;101;22.7;52.5;0.2;-0.05;-1.1;-0.6;-0.3;-0.2;-1;1.2;-1.1;HIGHER
2014;ES2;Noreste (ES);33.9;1.37;-1.4;9;9.5;2.4;99;22.9;50.7;0;0.06;3.4;0.1;0.3;0.2;-2;0.2;-1.8;HIGHER
2015;ES2;Noreste (ES);34;1.38;-0.6;8.8;10.1;2.7;97;25.7;49.1;0.1;0.01;0.8;-0.2;0.6;0.3;-2;2.8;-1.6;HIGHER
2016;ES2;Noreste (ES);34.1;1.39;2.1;8.5;9.8;2.5;100;24.4;51.6;0.1;0.01;2.7;-0.3;-0.3;-0.2;3;-1.3;2.5;HIGHER
2017;ES2;Noreste (ES);34.2;1.36;3;8.1;10.1;2.3;102;22.4;51.8;0.1;-0.03;0.9;-0.4;0.3;-0.2;2;-2;0.2;UNKNOWN
2000;ES21;País Vasco;32.4;1.03;-0.4;8.4;8.7;3.1;99;31.9;44.6;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;Y2K
2001;ES21;País Vasco;32.6;1.06;0.2;8.4;8.7;3.4;102;28.5;44.9;0.2;0.03;0.6;0;0;0.3;3;-3.4;0.3;HIGHER
2002;ES21;País Vasco;32.7;1.09;4.8;8.7;8.9;3.4;104;30.4;45.9;0.1;0.03;4.6;0.3;0.2;0;2;1.9;1;HIGHER
2003;ES21;País Vasco;32.8;1.16;4.9;9.2;9.2;3.2;108;28.5;48.8;0.1;0.07;0.1;0.5;0.3;-0.2;4;-1.9;2.9;HIGHER
2004;ES21;País Vasco;32.9;1.18;5.3;9.3;8.9;3.7;110;27;50.8;0.1;0.02;0.4;0.1;-0.3;0.5;2;-1.5;2;HIGHER
2005;ES21;País Vasco;32.9;1.18;5.7;9.3;9.2;2.9;113;26;55.8;0;0;0.4;0;0.3;-0.8;3;-1;5;HIGHER
2006;ES21;País Vasco;33;1.21;6.3;9.4;8.7;3.3;116;24.1;56.1;0.1;0.03;0.6;0.1;-0.5;0.4;3;-1.9;0.3;HIGHER
2007;ES21;País Vasco;33;1.25;7.2;9.6;8.9;4.3;116;23.2;59.3;0;0.04;0.9;0.2;0.2;1;0;-0.9;3.2;LOWER
2008;ES21;País Vasco;33.2;1.3;5.9;9.8;9;2.9;120;21.4;57.9;0.2;0.05;-1.3;0.2;0.1;-1.4;4;-1.8;-1.4;LOWER
2009;ES21;País Vasco;33.3;1.29;1.9;9.6;9;3.1;122;17.8;62.2;0.1;-0.01;-4;-0.2;0;0.2;2;-3.6;4.3;LOWER
2010;ES21;País Vasco;33.5;1.33;0.8;9.7;8.9;2.6;118;19.3;59.8;0.2;0.04;-1.1;0.1;-0.1;-0.5;-4;1.5;-2.4;LOWER
2011;ES21;País Vasco;33.7;1.35;0.1;9.7;9.1;2.7;114;19;60.6;0.2;0.02;-0.7;0;0.2;0.1;-4;-0.3;0.8;LOWER
2012;ES21;País Vasco;34;1.35;-3.6;9.4;9.3;2.6;110;16;60.8;0.3;0;-3.7;-0.3;0.2;-0.1;-4;-3;0.2;LOWER
2013;ES21;País Vasco;34.2;1.3;-4.3;8.8;9.1;2.3;108;17.1;61.3;0.2;-0.05;-0.7;-0.6;-0.2;-0.3;-2;1.1;0.5;HIGHER
2014;ES21;País Vasco;34.1;1.38;-0.6;8.9;9.3;2.2;107;19.3;58.5;-0.1;0.08;3.7;0.1;0.2;-0.1;-1;2.2;-2.8;HIGHER
2015;ES21;País Vasco;34.3;1.39;0.8;8.7;9.9;2.7;105;22.6;54.2;0.2;0.01;1.4;-0.2;0.6;0.5;-2;3.3;-4.3;HIGHER
2016;ES21;País Vasco;34.4;1.39;2.9;8.4;9.8;2.5;108;21.6;56.9;0.1;0;2.1;-0.3;-0.1;-0.2;3;-1;2.7;HIGHER
